r_12edo,r_19edo,r_31edo,name_abbr,name_full
0,0,0,P1,unisson
0,1,1,d2,dim 2nd
1,1,2,A1,chromatic semitone
1,2,3,m2,min 2nd
,,4,,
2,3,5,M2,whole thone
2,4,6,d3,dim 3rd
3,4,7,A2,aug 2nd
3,5,8,m3,min 3rd
,,9,,
4,6,10,M3,maj 3rd
4,7,11,d4,dim 4th
5,7,12,A3,aug 3rd
5,8,13,P4,perf 4th
,,14,,
6,9,15,A4,aug 4th
6,10,16,d5,dim 5th
,,17,,
7,11,18,P5,perf 5th
7,12,19,d6,dim 6th
8,12,20,A5,aug 5th
8,13,21,m6,min 6th
,,22,,
9,14,23,M6,maj 6th
9,15,24,d7,dim 7th
10,15,25,A6,aug 6th
10,16,26,m7,min 7th
,,27,,
11,17,28,M7,maj 7th
11,18,29,d8,dim octave
12,18,30,A7,aug 7th
12,19,31,P8,octave
