size,intervals_0,inversion,intervals,name_triad,name,scale_0,scale
3,525,0,52,sus,sus4,1-4-5,1-4-5
3,525,1,25,sus,sus2,4-5-1,1-2-4
3,525,2,55,sus,7sus4,5-1-4,1-4-b7
3,444,0,44,+,+,1-3-#5,1-3-#5
3,435,0,43,M,M,1-3-5,1-3-5
3,435,1,35,M,6,3-5-1,1-b3-b6
3,435,2,54,M,64,5-1-3,1-4-6
3,426,0,42,-,-,1-3-b5,1-3-b5
3,426,1,26,-,-6,3-b5-1,1-2-b6
3,426,2,64,-,-64,b5-3-1,1-b5-b7
3,345,0,34,m,m,1-b3-5,1-b3-5
3,345,1,45,m,m6,b3-5-1,1-3-6
3,345,2,53,m,m64,5-1-b3,1-4-b6
3,336,0,33,°,°,1-b3-b5,1-b3-b5
3,336,1,36,°,°6,b3-b5-1,1-b3-bb7
3,336,2,63,°,°64,b5-1-b3,1-b5-bb7
4,4341,0,434,M,M7,1-3-5-7,1-3-5-7
4,4341,1,341,M,M65,3-5-7-1,1-b3-5-b6
4,4341,2,414,M,M43,5-7-1-3,1-3-b5-bb7
4,4341,3,143,M,M42,7-1-3-5,1-b2-4-b6
4,4332,0,433,M,7,1-3-5-b7,1-3-5-b7
4,4332,1,332,M,65,3-5-b7-1,1-b3-b5-b6
4,4332,2,324,M,43,5-b7-1-3,1-b3-4-6
4,4332,3,243,M,42,b7-1-3-5,1-2-b5-b6
4,3441,0,344,m,mM7,1-b3-5-7,1-b3-5-7
4,3432,0,343,m,m7,1-b3-5-b7,1-b3-5-b7
4,3432,1,432,m,m65,b3-5-b7-1,1-3-5-6
4,3432,2,323,m,m43,5-b7-1-b3,1-b3-4-b6
4,3432,3,234,m,m42,b7-1-b3-5,1-2-4-6
4,3342,0,334,°,half°,1-b3-b5-b7,1-b3-b5-b7
4,3342,1,342,°,half°65,b3-b5-b7-1,1-b3-5-6
4,3342,2,423,°,half°43,b5-b7-1-b3,1-3-b5-6
4,3342,3,233,°,half°42,b7-1-b3-b5,1-2-4-b6
4,3333,0,333,°,°,1-b3-b5-bb7,1-b3-b5-bb7
